[name],[definition]
Boosting,"An ensemble learning technique that combines multiple weak learners to create a stronger, more accurate model."
Back-Propagation Neural Network (BPNN),A type of artificial neural network that uses a supervised learning algorithm to train the network by adjusting the weights and biases of the neurons.
Support Vector Regression (SVR),A machine learning algorithm used for regression analysis that finds the best hyperplane to separate the data while minimizing the error between the predicted and actual values.
Multiple Linear Regression (MLR),A statistical method used to model the relationship between multiple predictor variables and a continuous outcome variable.
Partial Least Squares (PLS),A regression method used to model the relationship between a set of predictor variables and a response variable by identifying latent variables that explain the most variance in the predictor variables.
Hierarchical Algorithm,A machine learning algorithm that uses a hierarchical approach to group data points into clusters based on their similarity.
Mean-Shift,A clustering algorithm that identifies the densest regions of data points and shifts each point towards the center of its respective cluster.
Density-Based Spatial Clustering of Applications with Noise (DBSCAN),A clustering algorithm that groups data points into clusters based on their density and separates outliers into noise points.
Feature Selection,A process of selecting a subset of relevant features from a larger set of predictor variables to improve the performance and interpretability of a machine learning model.
Feature Extraction,A process of transforming raw input data into a set of representative features that capture the most important information for a given machine learning task.
Value Iteration,An algorithm used in reinforcement learning to find the optimal policy by iteratively estimating the value function of each state.
Markov Decision Process (MDP),A decision-making process that involves modeling the environment as a Markov process and selecting actions based on the current state and expected future rewards.
Binary Tree (BT),A decision tree model that recursively partitions the data based on the value of a binary variable at each node.
Multilayer Feedforward ANN,"A type of artificial neural network that consists of multiple layers of neurons, with each layer fully connected to the next."
J48,A decision tree algorithm that uses the C4.5 algorithm and applies pruning to improve the accuracy and interpretability of the model.
Random Subspace,An ensemble learning method that uses a subset of the predictor variables to create multiple models and combines their predictions to improve accuracy and reduce overfitting.
Minimal Sequential Optimization,An algorithm used to train support vector machines (SVMs) by optimizing the dual problem in small sequential steps.
Recursive Feature Elimination Model,A feature selection algorithm that iteratively removes the least important features from a model until a desired level of performance is achieved.
Bayesian Hidden Markov (BHM),"A probabilistic model used to analyze sequential data, where the underlying system is modeled as a hidden Markov process with unknown parameters that are estimated using Bayesian inference."
Least Park Support Vector Machine (LS-SVM),A variant of support vector machines that minimizes the complexity of the model while maximizing the margin between the classes.
Deep Flexible Neural Forest,A type of ensemble learning method that combines multiple deep neural networks with a flexible gating mechanism to improve accuracy and reduce overfitting.
Gaussian Process (GP),A probabilistic model used for regression analysis that models the distribution of the outcome variable as a Gaussian distribution.
Linear Discriminant Analysis (LDA),A classification method that finds the linear combination of features that best separates the different classes in the data.
Ranking Model,A model that predicts a ranking order for a given set of items based on a set of features or variables.
SVM-Rank,An extension of support vector machines that learns to rank items based on pairwise preferences.
Deep Convolutional Neural Network (DCNN),"A type of neural network that uses convolutional layers to extract features from input data, often used in image and video recognition."
Gradient-Boosted Decision Tree (GBDT),An ensemble learning method that combines multiple decision trees to improve predictive performance.
Bag of Words (BoW),"A text representation method that represents a document as a set of words, ignoring the order and context of the words."
Dense RNN,A type of recurrent neural network where each time step has a dense layer to learn from the input and the previous state.
Dense CNN,A convolutional neural network architecture with multiple densely connected layers.
Enhanced Sentence Inference Model (ESIM),A neural network model for natural language inference that uses attention and multi-layer LSTM to capture semantic relationships between sentences.
Gated CNN,A convolutional neural network architecture with gating mechanisms that adaptively weigh input features.
Decomposable Attention,A neural network architecture for natural language inference that decomposes the problem into sub-problems and uses attention mechanisms to align and compare parts of the sentences.
Bayesian Inference,"A statistical method for updating our beliefs about a model or hypothesis based on new data, using Bayes' theorem. It is often used in machine learning for model selection, parameter estimation, and uncertainty quantification."
Classification,A supervised learning task that involves assigning input data to a discrete set of predefined categories or classes.
Ordinal Regression,"A supervised learning task that involves predicting an ordinal outcome variable, where the categories have a natural ordering or ranking."
Adaptive Neuro-Fuzzy Inference System (ANFIS),"Adaptive Neuro-Fuzzy Inference System, a hybrid AI model that combines fuzzy logic and neural networks to perform complex system modeling and control tasks."
Temporal Convolution Networks (TCN),A type of convolutional neural network that can model temporal sequences with variable-length input and output.
Gated Recurrent Unit (GRU),A type of recurrent neural network that uses gating mechanisms to selectively update and output information from previous time steps.
Correlation-Based Feature Selection (CFS),"A feature selection method that evaluates the quality of a feature subset based on the correlation between features and the correlation between features and the target variable, aiming to select a subset of independent and highly relevant features."
Bidirectional LSTM (BLSTM),"A type of recurrent neural network (RNN) that processes sequential data in both forward and backward directions, allowing the network to have access to past and future inputs."
Stacked LSTM,"A variant of the LSTM architecture where multiple LSTM layers are stacked on top of each other, enabling the network to learn more complex representations of sequential data."
Elman Neural Network (MENN),A type of recurrent neural network that uses a simple recurrent layer to process sequential data by maintaining a hidden state that captures information from previous time steps.
Generic CNN (GCNN),A convolutional neural network (CNN) that uses standard convolutional operations to extract features from images or other types of data with a grid-like structure.
Tuned Dedicated CNN (TDCNN),"A specialized CNN architecture that is designed and optimized for a specific task or dataset, often using techniques like architecture search or transfer learning."
Attention-Based Time-Incremental CNN (ATI-CNN),"A type of CNN that incorporates an attention mechanism, allowing the network to selectively focus on relevant parts of the input at each time step, and can process sequential data with varying lengths."
Transformers,"A type of neural network architecture that uses self-attention mechanisms to process sequential data, and has been used to achieve state-of-the-art results in natural language processing and other applications."
Generative Pre-Trained Transformer (GPT),"A family of language models based on the transformer architecture that are pre-trained on large amounts of text data, and can generate high-quality text or perform various downstream NLP tasks with fine-tuning."
Automated Machine Learning (AutoML),"A set of techniques and tools that automate the process of building and optimizing machine learning models, including tasks such as feature engineering, algorithm selection, hyperparameter tuning, and model selection."
Graph Neural Network (GNN),"A type of neural network architecture that operates on graph-structured data, where each node represents an entity and each edge represents a relationship, and has been used for tasks such as node classification, link prediction, and graph generation."
Fully Connected Neural Network (FCNN),"A type of artificial neural network where every neuron in one layer is connected to every neuron in the next layer, and is commonly used for classification and regression tasks."
Attention-Based Bi-Directional LSTM (ABLSTM),"A type of recurrent neural network that incorporates self-attention mechanisms to improve the model's ability to focus on relevant parts of the input, and can process sequential data bidirectionally."
Feed-Forward Neural Network,"A type of neural network where the information flows in one direction, from input to output, without any feedback connections, and is used for tasks such as classification and regression."
Multitask-Clinical BERT (MT-Clinical BERT),"A variant of the BERT architecture that is pre-trained on large amounts of clinical text data and can perform multiple tasks related to clinical language processing, such as named entity recognition, relation extraction, and question answering."
BEHRT,A BERT-based language model that is pre-trained on electronic health record (EHR) data and can predict patient outcomes and identify potential risk factors for various diseases.
CheXbert,"A variant of the BERT architecture that is pre-trained on a large radiology dataset and can perform chest X-ray interpretation tasks, such as identifying common abnormalities and diseases."
Residual Network (ResNet),A deep neural network architecture that uses residual connections to enable the training of very deep networks and has achieved state-of-the-art performance on various computer vision tasks.
Visual Geometry Group (VGG16/19),"A deep convolutional neural network architecture that consists of multiple convolutional and max pooling layers followed by fully connected layers, and has been widely used for image classification and other tasks in computer vision."
ResNet50/152V2,"Variants of the ResNet architecture with 50 and 152 layers, respectively, that have achieved state-of-the-art performance on various computer vision tasks and are commonly used as feature extractors or pre-trained models for transfer learning."
DenseNet201/169,"Deep convolutional neural network architectures that use dense connections to enable feature reuse and reduce the number of parameters, and have achieved state-of-the-art performance on various computer vision tasks."
MobileNetV2,A lightweight convolutional neural network architecture designed for mobile and embedded devices that uses depth-wise separable convolutions to reduce the number of parameters and computations while maintaining high accuracy.
NASNetMobile,A convolutional neural network architecture designed using neural architecture search that achieves state-of-the-art accuracy on mobile and embedded devices while maintaining high efficiency.
Gradient Boosting (GB),"A machine learning ensemble technique that trains multiple weak models sequentially, with each model trying to correct the mistakes of the previous model, and has achieved state-of-the-art performance on various regression and classification tasks."
Transfer Learning (TL),"A machine learning technique where a model pre-trained on a large dataset is used as a starting point for a new task or dataset, and fine-tuned on the new data to improve performance and reduce training time."
GoogleNet,"A deep convolutional neural network architecture that uses inception modules to reduce the number of parameters and computations while maintaining high accuracy, and has achieved state-of-the-art performance on various computer vision tasks."
Convolutional Deep Belief Network (CDBN),A deep learning architecture that combines convolutional neural networks and deep belief networks to learn hierarchical features from images and has been used for image classification and other tasks in computer vision.
Multi-Branch Parallel Convolutional Neural Network (MBPCNN),A multi-branch parallel convolutional neural network architecture that uses parallel branches with different receptive fields to capture different levels of spatial information and has been used for image classification and other tasks in computer vision.
Wasserstein Generative Adversarial Network with Gradient Penalty (WGAN-GP),A variant of the generative adversarial network architecture that uses the Wasserstein distance instead of the Jensen-Shannon divergence to improve training stability and adds a gradient penalty term to the loss function to enforce the Lipschitz constraint on the discriminator.
Relevance Vector Regressor (RVR),A sparse Bayesian regression model that uses the relevance vector machine algorithm to select a subset of relevant features and has been used for regression tasks.
Residual GAN (R-GAN),A generative adversarial network architecture that uses residual connections in the generator and discriminator to improve training stability and has been used for image generation and other tasks in computer vision.
Recurrent Convolutional Neural Network (RCNN),A deep learning architecture that combines convolutional neural networks and recurrent neural networks to learn spatiotemporal features from videos and has been used for video classification and other tasks in computer vision.
Long-Term Recurrent Convolutional Neural Network (LRCN),A deep learning architecture that combines convolutional neural networks and recurrent neural networks with long-term memory to learn spatiotemporal features from videos and has been used for video classification and other tasks in computer vision.
Convolutional LSTM (CLSTM),A variant of the LSTM architecture that uses convolutional layers in the input-to-state and state-to-state transitions to learn spatiotemporal features and has been used for video prediction and other tasks in computer vision.
Sparse Long Short Memory Network (SLTM),A variant of the LSTM architecture that uses sparse coding techniques to learn sparse representations of input sequences and has been used for speech recognition and other tasks in natural language processing.
Selective Bagging Model (SBM),An ensemble learning technique that combines multiple models trained on different subsets of the data and uses a selective weighting scheme to combine their predictions and has been used for classification tasks.
Self-Configuring Genetic Algorithm (SelfCGA),A genetic algorithm that adapts its parameters during the optimization process to improve performance and has been used for various optimization problems.
Self-Configuring Genetic Programming (SelfCGP),A genetic programming algorithm that adapts its parameters during the optimization process to improve performance and has been used for symbolic regression and other tasks in machine learning.
Particle Swarm Optimization with Parasitic Behavior (PSOPB),A variant of the particle swarm optimization algorithm that introduces parasitic particles to explore the search space more effectively and has been used for various optimization problems.
Deep Denoising Convolutional Autoencoder (DDCAE),A deep learning architecture that combines convolutional autoencoders with denoising techniques to learn robust representations of images and has been used for image denoising and other tasks in computer vision.
Least Square Generative Adversarial Network (LSGAN),A variant of the generative adversarial network architecture that uses the least squares loss instead of the binary cross
Self-Organized Neural Network (SONN),Self-organized neural networks are a type of unsupervised learning algorithm where neurons in the network learn to organize themselves into different groups based on the input data.
Federated Learning (FL),Federated Learning (FL) is a distributed machine learning method that trains models across multiple decentralized devices without the need for centralizing data.
Deep Federated Q-Learning (DFQL),A variation of the Q-learning algorithm that uses deep neural networks to learn optimal decision-making strategies in complex environments.
Multi-Agent Deep Q-Learning (MAQL),A variation of the Q-learning algorithm that uses deep neural networks to learn optimal decision-making strategies in complex environments.
Attention Mechanism-Based Convolutional Neural Network Long Short Term Memory (AMCNN-LSTM),Attention Mechanism-Based Convolutional Neural Network Long Short-Term Memory (AMCNN-LSTM) is a type of neural network architecture that combines the strengths of CNNs and LSTMs while incorporating attention mechanisms for improved performance in tasks such as image or speech recognition.
Fuzzy C-Means (FCM),Fuzzy Cmeans (FCM) is a clustering algorithm that assigns each data point to one or more clusters based on the degree of membership in each cluster.
Fuzzy Self-Organizing Map (FSOM),"Fuzzy SOM (FSOM) is a self-organizing map algorithm that uses fuzzy logic to enable each data point to have a degree of membership in multiple clusters simultaneously, resulting in a more flexible and nuanced representation of the data."
JRIP,JRIP is a decision tree algorithm that generates a set of rules based on the feature space of the dataset.
Bayesian Belief Networks (BBN),Bayesian Belief Networks (BBN) is a probabilistic graphical model that represents the dependencies among a set of random variables using a directed acyclic graph.
Instance-Based Learning (IBL),Instance-based learning (IBL) is a lazy learning algorithm that makes predictions based on the similarity between new instances and instances in the training set.
Voting Feature Interval (VFI),Voting Feature Interval (VFI) is a feature selection method that selects features based on their importance in a voting process among multiple intervals of feature subsets.
Immune-Based Detection Strategy (IDS),"Immune-Based Detection Strategy (IDS) is a classification algorithm inspired by the immune system, which learns to discriminate between self and non-self data patterns."
Fuzzy Rule Learner (FRL),"Fuzzy Rule Learner (FRL) is a machine learning algorithm that learns fuzzy rules from data, which can be used for classification or prediction tasks."
Polynomial Regression,Polynomial Regression is a regression algorithm that fits a polynomial function to the input data to model the relationship between the input and output variables.
LeNet,LeNet is a deep convolutional neural network (CNN) architecture that was one of the first CNN models to achieve high accuracy on handwritten digit recognition tasks.
AlexNet,"AlexNet is a deep CNN architecture that won the ImageNet Large Scale Visual Recognition Challenge (ILSVRC) in 2012, revolutionizing computer vision research and paving the way for deep learning."
R-CNN,"R-CNN, R-FCN, Faster R-CNN, and Mask R-CNN are object detection architectures that use region-based convolutional neural networks to detect and classify objects in images and video."
R-FCN,"R-CNN, R-FCN, Faster R-CNN, and Mask R-CNN are object detection architectures that use region-based convolutional neural networks to detect and classify objects in images and video."
Faster R-CNN,"R-CNN, R-FCN, Faster R-CNN, and Mask R-CNN are object detection architectures that use region-based convolutional neural networks to detect and classify objects in images and video."
Feature Pyramid Network (FPN),"FPN stands for Feature Pyramid Network, which is a CNN architecture that aims to improve object detection performance by using a pyramid of feature maps with different scales and resolutions."
Mask R-CNN,"R-CNN, R-FCN, Faster R-CNN, and Mask R-CNN are object detection architectures that use region-based convolutional neural networks to detect and classify objects in images and video."
NOC,"NOC, MR-CNN, and S-CNN are other object detection architectures that use neural networks to detect and classify objects in images and video."
MR-CNN,"NOC, MR-CNN, and S-CNN are other object detection architectures that use neural networks to detect and classify objects in images and video."
S-CNN,"NOC, MR-CNN, and S-CNN are other object detection architectures that use neural networks to detect and classify objects in images and video."
HyperNet,"HyperNet, ION, MSGR, StuffNet, and OHEM are other CNN architectures that use various techniques such as hypernetworks, attention mechanisms, and online hard example mining to improve performance on specific tasks."
ION,"HyperNet, ION, MSGR, StuffNet, and OHEM are other CNN architectures that use various techniques such as hypernetworks, attention mechanisms, and online hard example mining to improve performance on specific tasks."
MSGR,"HyperNet, ION, MSGR, StuffNet, and OHEM are other CNN architectures that use various techniques such as hypernetworks, attention mechanisms, and online hard example mining to improve performance on specific tasks."
StuffNet,"HyperNet, ION, MSGR, StuffNet, and OHEM are other CNN architectures that use various techniques such as hypernetworks, attention mechanisms, and online hard example mining to improve performance on specific tasks."
OHEM,"HyperNet, ION, MSGR, StuffNet, and OHEM are other CNN architectures that use various techniques such as hypernetworks, attention mechanisms, and online hard example mining to improve performance on specific tasks."
SDP+CRC,"SDP+CRC, SubCNN, and CBDNet are CNN architectures designed for image denoising and restoration tasks."
SubCNN,"SDP+CRC, SubCNN, and CBDNet are CNN architectures designed for image denoising and restoration tasks."
CBDNet,"SDP+CRC, SubCNN, and CBDNet are CNN architectures designed for image denoising and restoration tasks."
PLANET,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Network-in-Network (NIN),"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
RetinaNet,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
CornerNet,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Inception,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Hourglass,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Dilated Residual Network,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Xception,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
DetNet,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Dual Path Network (DPN),"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
FishNet,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
ResNeXt,"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Global Reasoning Network (GLoRe),"PLANET, NIN, RetinaNet, CornerNet, Inception, Hourglass, Dilated Residual Network, Xception, DetNet, Dual Path Network (DPN), FishNet, ResNeXt, and GLoRe are other deep CNN architectures that have achieved state-of-the-art performance on various image and video tasks."
Deep Forward Neural Network (DFNN),A deep learning model that consists of multiple hidden layers that process input data in a forward direction to make predictions or classifications.
Recursive Neural Network (RvNN),A type of neural network that operates on structured data by recursively applying the same neural network function to nodes in a tree-like structure.
Deep Bayesian Nonparametric Model,"A probabilistic model that uses Bayesian inference to model complex and structured data, without assuming a specific distribution or number of parameters."
